Expr Log Ratio,Note,ID,Symbol,Entrez Gene Name,Location,Type(s)
3.703,downstream,4930584F24Rik,4930584F24Rik,RIKEN cDNA 4930584F24 gene,Other,other
3.703,inside,Cryz,CRYZ,crystallin zeta,Cytoplasm,enzyme
3.703,inside,Cyp2a5,CYP2A6 (includes others),cytochrome P450 family 2 subfamily A member 6,Cytoplasm,enzyme
3.703,downstream,Cyp2a5,CYP2A6 (includes others),cytochrome P450 family 2 subfamily A member 6,Cytoplasm,enzyme
3.703,downstream,Cyp51,CYP51A1,cytochrome P450 family 51 subfamily A member 1,Cytoplasm,enzyme
3.703,downstream,Dmrta2,Dmrta2,DMRT-like family A2,Nucleus,other
3.703,inside,Dpf3,Dpf3,double PHD fingers 3,Nucleus,other
3.703,upstream,Dspp,DSPP,dentin sialophosphoprotein,Extracellular Space,other
3.703,downstream,Galnt3,GALNT3,polypeptide N-acetylgalactosaminyltransferase 3,Cytoplasm,enzyme
3.703,downstream,Gm10486,Gm4836 (includes others),predicted gene 4836,Nucleus,other
3.703,upstream,Gm10754,Gm10754,predicted gene 10754,Other,other
3.703,upstream,Gm12413,Gm12413,phosphoglycerate mutase 1 pseudogene,Other,other
3.703,inside,Gm12451,Gm12451,predicted gene 12451,Other,other
3.703,upstream,Gm12460,Gm12460,predicted gene 12460,Other,other
3.703,upstream,Gm13167,Gm13167,predicted gene 13167,Other,other
3.703,upstream,Gm13232,Gm13232,predicted gene 13232,Other,other
3.703,downstream,Gm14350,Gm14350,"spindlin family, member 2 pseudogene",Other,other
3.703,downstream,Gm2066,Gm2066 (includes others),predicted pseudogene 2066,Other,other
3.703,upstream,Gm378,Gm378,predicted pseudogene 378,Other,other
3.703,downstream,Gm4991,Gm4991,karyopherin (importin) alpha 2 pseudogene,Other,other
3.703,downstream,Gm5255,Gm5255,"protein phosphatase 1, regulatory (inhibitor) subunit 16B pseudogene",Other,other
3.703,upstream,Gm5548,Gm5548,leptin receptor gene-related protein pseudogene,Other,other
3.703,inside,Gm6121,Gm4836 (includes others),predicted gene 4836,Nucleus,other
3.703,upstream,Grip1,GRIP1,glutamate receptor interacting protein 1,Plasma Membrane,transcription regulator
3.703,inside,Gucy1a2,GUCY1A2,guanylate cyclase 1 soluble subunit alpha 2,Cytoplasm,enzyme
3.703,inside,Hnmt,HNMT,histamine N-methyltransferase,Cytoplasm,enzyme
3.703,upstream,I830077J02Rik,C1orf162,chromosome 1 open reading frame 162,Other,transporter
3.703,inside,Lrrc8b,LRRC8B,leucine rich repeat containing 8 family member B,Other,other
3.703,inside,Mef2a,MEF2A,myocyte enhancer factor 2A,Nucleus,transcription regulator
3.703,upstream,Nrg3,NRG3,neuregulin 3,Extracellular Space,growth factor
3.703,downstream,Pabpc2,Pabpc2,"poly(A) binding protein, cytoplasmic 2",Cytoplasm,other
3.703,upstream,Pcdh17,PCDH17,protocadherin 17,Plasma Membrane,other
3.703,upstream,Pdp2,PDP2,pyruvate dehyrogenase phosphatase catalytic subunit 2,Cytoplasm,phosphatase
3.703,inside,Sh2d4b,SH2D4B,SH2 domain containing 4B,Other,other
3.703,inside,Smok3b,Smok2b (includes others),sperm motility kinase 2B,Other,kinase
3.703,downstream,Snx7,SNX7,sorting nexin 7,Other,transporter
3.703,upstream,St6galnac5,ST6GALNAC5,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5",Cytoplasm,enzyme
3.703,inside,Trmu,TRMU,tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase,Cytoplasm,enzyme
3.703,downstream,Tshz3,TSHZ3,teashirt zinc finger homeobox 3,Nucleus,transcription regulator
3.703,upstream,Ttc39c,TTC39C,tetratricopeptide repeat domain 39C,Other,other
3.703,downstream,Zfp11,ZNF546,zinc finger protein 546,Nucleus,other
3.703,inside,Zfp277,ZNF277,zinc finger protein 277,Nucleus,transcription regulator
3.621,inside,Eif4g3,EIF4G3,eukaryotic translation initiation factor 4 gamma 3,Cytoplasm,translation regulator
3.592,upstream,Gm11516,Gm11516,"chaperonin containing Tcp1, subunit 3 (gamma) pseudogene",Other,other
3.534,upstream,Hdhd2,HDHD2,haloacid dehalogenase like hydrolase domain containing 2,Cytoplasm,other
3.534,upstream,Kif22-ps,Kif22-ps,"kinesin family member 22, pseudogene",Other,other
3.534,upstream,Nr3c2,NR3C2,nuclear receptor subfamily 3 group C member 2,Nucleus,ligand-dependent nuclear receptor
3.472,upstream,Bard1,BARD1,BRCA1 associated RING domain 1,Nucleus,transcription regulator
3.44,upstream,Dfna5,DFNA5,"DFNA5, deafness associated tumor suppressor",Cytoplasm,other
3.44,downstream,Tns1,TNS1,tensin 1,Plasma Membrane,other
3.341,upstream,1110008L16Rik,KIAA0391,KIAA0391,Cytoplasm,enzyme
3.341,inside,Dmrtc1c1,Dmrtc1c1/Dmrtc1c2,DMRT-like family C1c2,Other,other
3.341,inside,Dmrtc1c2,Dmrtc1c1/Dmrtc1c2,DMRT-like family C1c2,Other,other
3.341,downstream,Gm14907,Gm14907,heat shock protein 1 (chaperonin) pseudogene,Other,other
3.341,inside,Ispd,ISPD,isoprenoid synthase domain containing,Other,enzyme
3.341,upstream,Magi1,MAGI1,"membrane associated guanylate kinase, WW and PDZ domain containing 1",Plasma Membrane,kinase
3.341,downstream,Mnda,IFI16,interferon gamma inducible protein 16,Nucleus,transcription regulator
3.341,inside,Muc5ac,MUC5AC,"mucin 5AC, oligomeric mucus/gel-forming",Cytoplasm,peptidase
3.341,inside,Muc5ac,MUC5AC,"mucin 5AC, oligomeric mucus/gel-forming",Cytoplasm,peptidase
3.341,inside,Prkrip1,PRKRIP1,PRKR interacting protein 1 (IL11 inducible),Nucleus,other
3.341,downstream,Tns1,TNS1,tensin 1,Plasma Membrane,other
3.341,upstream,Zfp709,ZNF443,zinc finger protein 443,Nucleus,transcription regulator
3.234,inside,Bard1,BARD1,BRCA1 associated RING domain 1,Nucleus,transcription regulator
3.234,upstream,Chrac1,CHRAC1,chromatin accessibility complex 1,Nucleus,enzyme
3.234,downstream,Cyp3a41a,CYP3A5,cytochrome P450 family 3 subfamily A member 5,Cytoplasm,enzyme
3.234,inside,Ehmt1,EHMT1,euchromatic histone lysine methyltransferase 1,Nucleus,transcription regulator
3.234,downstream,Gm2066,Gm2066 (includes others),predicted pseudogene 2066,Other,other
3.234,downstream,Gm2288,Gm2288,predicted gene 2288,Other,other
3.234,upstream,Khdrbs1,KHDRBS1,"KH RNA binding domain containing, signal transduction associated 1",Nucleus,transcription regulator
3.234,inside,Kif21a,KIF21A,kinesin family member 21A,Cytoplasm,other
3.234,downstream,Mir592,mir-592,microRNA 592,Cytoplasm,microRNA
3.234,inside,Vwc2l,Vwc2l,von Willebrand factor C domain-containing protein 2-like,Extracellular Space,other
3.197,inside,Unc80,UNC80,"unc-80 homolog, NALCN activator",Plasma Membrane,enzyme
3.119,upstream,4933411G06Rik,4933411G06Rik,Sumo1 pseudogene,Other,other
3.119,inside,Casp3,CASP3,caspase 3,Cytoplasm,peptidase
3.119,inside,Cntn3,CNTN3,contactin 3,Plasma Membrane,other
3.119,inside,Gm13142,Gm13142,"protein phosphatase 2, regulatory subunit B (B56), alpha isoform pseudogene",Other,other
3.119,upstream,Gm4732,Gm2066 (includes others),predicted pseudogene 2066,Other,other
3.119,inside,Kcnn3,KCNN3,potassium calcium-activated channel subfamily N member 3,Plasma Membrane,ion channel
3.119,upstream,Pou6f2,Pou6f2,POU class 6 homeobox 2,Other,other
3.119,downstream,Ppp1r3b,PPP1R3B,protein phosphatase 1 regulatory subunit 3B,Cytoplasm,other
3.119,downstream,Rprm,RPRM,"reprimo, TP53 dependent G2 arrest mediator homolog",Cytoplasm,other
3.119,upstream,Scaper,Scaper,S-phase cyclin A-associated protein in the ER,Nucleus,other
3.119,upstream,Siglech,Siglech,sialic acid binding Ig-like lectin H,Plasma Membrane,other
3.119,downstream,Zfy1,Zfy1/Zfy2,"zinc finger protein 1, Y-linked",Nucleus,other
3.057,downstream,Tns1,TNS1,tensin 1,Plasma Membrane,other
3.036,downstream,Cav1,CAV1,caveolin 1,Plasma Membrane,transmembrane receptor
2.993,upstream,A630001G21Rik,A630001G21Rik,RIKEN cDNA A630001G21 gene,Other,other
2.993,upstream,Antxr2,ANTXR2,anthrax toxin receptor 2,Plasma Membrane,transmembrane receptor
2.993,upstream,Cdh9,CDH9,cadherin 9,Plasma Membrane,other
2.993,inside,Ctnna2,CTNNA2,catenin alpha 2,Plasma Membrane,other
2.993,inside,Gm10486,Gm4836 (includes others),predicted gene 4836,Nucleus,other
2.993,inside,Gm10488,Gm4836 (includes others),predicted gene 4836,Nucleus,other
2.993,downstream,Gm11847,Gm11847,heterogeneous nuclear ribonucleoprotein A3 pseudogene,Other,other
2.993,upstream,Gm13084,Gm13084/Oog2,predicted gene 13084,Other,other
2.993,overlapStart,Gm5662,Gm5662 (includes others),predicted gene 5662,Other,other
2.993,downstream,Gm9062,Gm9062,mitochondrial ribosomal protein L10 pseudogene,Other,other
2.993,overlapStart,Gm9755,Gm9755,Tu translation elongation factor pseudogene,Other,other
2.993,downstream,Lcn9,LCN9,lipocalin 9,Extracellular Space,transporter
2.993,upstream,Mall,MALL,"mal, T-cell differentiation protein like",Plasma Membrane,other
2.993,downstream,Plod2,PLOD2,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",Cytoplasm,enzyme
2.993,inside,Pnpla1,PNPLA1,patatin like phospholipase domain containing 1,Cytoplasm,enzyme
2.993,downstream,Rab11fip2,RAB11FIP2,RAB11 family interacting protein 2,Cytoplasm,other
2.993,upstream,Rbbp8,RBBP8,"RB binding protein 8, endonuclease",Nucleus,enzyme
2.993,inside,Shisa6,SHISA6,shisa family member 6,Plasma Membrane,other
2.993,inside,Shisa6,SHISA6,shisa family member 6,Plasma Membrane,other
2.993,inside,Sik2,Sik2,salt-inducible kinase 2,Other,other
2.993,inside,Srbd1,SRBD1,S1 RNA binding domain 1,Other,other
2.993,upstream,Sstr1,SSTR1,somatostatin receptor 1,Plasma Membrane,G-protein coupled receptor
2.993,downstream,Tmtc3,TMTC3,transmembrane and tetratricopeptide repeat containing 3,Cytoplasm,other
2.993,upstream,Twist2,TWIST2,twist family bHLH transcription factor 2,Nucleus,transcription regulator
2.993,upstream,Vmn1r78,Vmn1r78,vomeronasal 1 receptor 78,Plasma Membrane,G-protein coupled receptor
2.993,upstream,Vmn2r84,Vmn2r88 (includes others),"vomeronasal 2, receptor 88",Other,other
2.993,upstream,Wasf2,Wasf2,"WAS protein family, member 2",Plasma Membrane,other
2.993,downstream,Wnt7a,WNT7A,Wnt family member 7A,Extracellular Space,cytokine
2.993,upstream,Zfp689,ZNF689,zinc finger protein 689,Nucleus,transcription regulator
2.993,upstream,Zfp746,ZNF746,zinc finger protein 746,Cytoplasm,transcription regulator
2.993,upstream,Zkscan2,ZKSCAN2,zinc finger with KRAB and SCAN domains 2,Nucleus,transcription regulator
2.949,downstream,Cyp3a41b,CYP3A5,cytochrome P450 family 3 subfamily A member 5,Cytoplasm,enzyme
2.949,downstream,Kif22-ps,Kif22-ps,"kinesin family member 22, pseudogene",Other,other
2.926,downstream,Etos1,Etos1,ectopic ossification 1,Other,other
2.855,downstream,1700056E22Rik,1700056E22Rik,RIKEN cDNA 1700056E22 gene,Other,other
2.855,downstream,4931400O07Rik,4931400O07Rik,RIKEN cDNA 4931400O07 gene,Other,other
2.855,upstream,Adamts3,ADAMTS3,ADAM metallopeptidase with thrombospondin type 1 motif 3,Extracellular Space,peptidase
2.855,inside,Asxl2,ASXL2,"additional sex combs like 2, transcriptional regulator",Extracellular Space,other
2.855,downstream,BC061212,A430089I19Rik (includes others),uncharacterized LOC545763,Other,other
2.855,upstream,Camk1d,CAMK1D,calcium/calmodulin dependent protein kinase ID,Cytoplasm,kinase
2.855,upstream,Ccdc57,Ccdc57,coiled-coil domain containing 57,Other,other
2.855,downstream,Chd5,CHD5,chromodomain helicase DNA binding protein 5,Nucleus,enzyme
2.855,upstream,Chordc1,CHORDC1,cysteine and histidine rich domain containing 1,Other,other
2.855,upstream,Coro2b,CORO2B,coronin 2B,Other,other
2.855,upstream,Cox7c,Cox7c,cytochrome c oxidase subunit VIIc,Cytoplasm,other
2.855,upstream,Crry-ps,Crry-ps,"complement receptor related protein, pseudogene",Other,other
2.855,upstream,Cwh43,CWH43,cell wall biogenesis 43 C-terminal homolog,Other,other
2.855,overlapEnd,Defa23,Defa3 (includes others),"defensin, alpha, 3",Extracellular Space,other
2.855,inside,Drd3,DRD3,dopamine receptor D3,Plasma Membrane,G-protein coupled receptor
2.855,upstream,Ethe1,ETHE1,"ETHE1, persulfide dioxygenase",Cytoplasm,enzyme
2.855,downstream,Fzd8,FZD8,frizzled class receptor 8,Plasma Membrane,G-protein coupled receptor
2.855,upstream,Gm10324,ZNF700,zinc finger protein 700,Extracellular Space,other
2.855,downstream,Gm10324,ZNF700,zinc finger protein 700,Extracellular Space,other
2.855,upstream,Gm11787,Gm11787,predicted gene 11787,Other,other
2.855,upstream,Gm11805,Gm11805,high mobility group box 3 pseudogene,Other,other
2.855,downstream,Gm14334,Gm14334,"spindlin family, member 2 pseudogene",Other,other
2.855,upstream,Gm14632,Gm4836 (includes others),predicted gene 4836,Nucleus,other
2.855,upstream,Gm14819,Gm4836 (includes others),predicted gene 4836,Nucleus,other
2.855,downstream,Gm15367,Gm15367,acyl-Coenzyme A binding domain containing 5 pseudogene,Other,other
2.855,downstream,Gm17014,Gm17014,predicted gene 17014,Other,other
2.855,upstream,Gm17068,Gm17068,glyceraldehyde-3-phosphate dehydrogenase pseudogene,Other,other
2.855,downstream,Gm2288,Gm2288,predicted gene 2288,Other,other
2.855,upstream,Gm3298,Gm16440 (includes others),predicted gene 16440,Other,other
2.855,upstream,Gm3757,SPIN2A/SPIN2B,spindlin family member 2A,Other,other
2.855,upstream,Gm5152,Gm5152,predicted gene 5152,Other,other
2.855,upstream,Gm5913,Gm5913,Ras-GTPase-activating protein SH3-domain binding protein 1 pseudogene,Other,other
2.855,downstream,Gm7353,Gm7353,zinc finger CCCH type containing 3 pseudogene,Other,other
2.855,upstream,Gm7416,Gm7416,methionine aminopeptidase 2 pseudogene,Other,other
2.855,upstream,H2afz,H2AFZ,H2A histone family member Z,Nucleus,other
2.855,downstream,Kctd8,KCTD8,potassium channel tetramerization domain containing 8,Other,other
2.855,upstream,Kif22-ps,Kif22-ps,"kinesin family member 22, pseudogene",Other,other
2.855,downstream,Kif22-ps,Kif22-ps,"kinesin family member 22, pseudogene",Other,other
2.855,inside,Lrrtm4,LRRTM4,leucine rich repeat transmembrane neuronal 4,Extracellular Space,other
2.855,upstream,Mir218-1,mir-218,microRNA 218-2,Cytoplasm,microRNA
2.855,upstream,Mrpl17,Mrpl17,mitochondrial ribosomal protein L17,Cytoplasm,other
2.855,inside,Nr5a2,NR5A2,nuclear receptor subfamily 5 group A member 2,Nucleus,ligand-dependent nuclear receptor
2.855,downstream,Olfr1045,OR8J3,olfactory receptor family 8 subfamily J member 3,Plasma Membrane,G-protein coupled receptor
2.855,upstream,Olfr331,OR2T4,olfactory receptor family 2 subfamily T member 4,Plasma Membrane,G-protein coupled receptor
2.855,downstream,Otx2,Otx2,orthodenticle homeobox 2,Nucleus,transcription regulator
2.855,downstream,Oxct2b,Oxct2a/Oxct2b,3-oxoacid CoA transferase 2A,Cytoplasm,enzyme
2.855,upstream,Pbx1,PBX1,PBX homeobox 1,Nucleus,transcription regulator
2.855,upstream,Phkg2,Phkg2,phosphorylase kinase catalytic subunit gamma 2,Cytoplasm,kinase
2.855,upstream,Pwp1,PWP1,"PWP1 homolog, endonuclein",Nucleus,other
2.855,upstream,Pwp1,PWP1,"PWP1 homolog, endonuclein",Nucleus,other
2.855,downstream,Rbfox1,RBFOX1,"RNA binding protein, fox-1 homolog 1",Cytoplasm,other
2.855,upstream,Rpl31-ps22,Rpl31-ps22,"ribosomal protein L31, pseudogene 22",Other,other
2.855,upstream,Rxfp2,RXFP2,relaxin/insulin like family peptide receptor 2,Plasma Membrane,G-protein coupled receptor
2.855,inside,Scfd2,SCFD2,sec1 family domain containing 2,Other,transporter
2.855,upstream,Tacr1,TACR1,tachykinin receptor 1,Plasma Membrane,G-protein coupled receptor
2.855,upstream,Tfap2a,TFAP2A,transcription factor AP-2 alpha,Nucleus,transcription regulator
2.855,inside,Zfp169,ZNF169,zinc finger protein 169,Nucleus,transcription regulator
2.855,downstream,Zfp352,Zfp352,zinc finger protein 352,Other,other
2.797,inside,Sulf1,SULF1,sulfatase 1,Cytoplasm,enzyme
2.781,inside,Adam18,ADAM18,ADAM metallopeptidase domain 18,Plasma Membrane,peptidase
2.781,downstream,Tns1,TNS1,tensin 1,Plasma Membrane,other
2.756,inside,C1ra,C1R,complement C1r,Extracellular Space,peptidase
2.756,inside,Cdkl4,CDKL4,cyclin dependent kinase like 4,Nucleus,kinase
2.756,upstream,Cfhr2,Cfhr3,complement factor H-related 3,Other,other
2.756,inside,Fam175b,ABRAXAS2,"abraxas 2, BRISC complex subunit",Nucleus,other
2.756,downstream,Gm14632,Gm4836 (includes others),predicted gene 4836,Nucleus,other
2.756,upstream,Gm2030,Gm4836 (includes others),predicted gene 4836,Nucleus,other
2.756,inside,Gm9119,Gm9119,predicted pseudogene 9119,Other,other
2.756,inside,Gpr137b,Gpr137b,G protein-coupled receptor 137B,Other,other
2.756,downstream,Kif22-ps,Kif22-ps,"kinesin family member 22, pseudogene",Other,other
2.756,upstream,Magi2,MAGI2,"membrane associated guanylate kinase, WW and PDZ domain containing 2",Plasma Membrane,kinase
2.756,upstream,Mup16,Mup1 (includes others),major urinary protein 1,Extracellular Space,other
2.756,upstream,Mup-ps14,Mup-ps14,"major urinary protein, pseudogene 14",Other,other
2.756,downstream,Prelid2,PRELID2,PRELI domain containing 2,Cytoplasm,other
2.756,upstream,Stard8,STARD8,StAR related lipid transfer domain containing 8,Cytoplasm,other
2.756,inside,Unc80,UNC80,"unc-80 homolog, NALCN activator",Plasma Membrane,enzyme
2.703,downstream,1700102P08Rik,C3orf62,chromosome 3 open reading frame 62,Other,other
2.703,upstream,4930426D05Rik,4930426D05Rik,RIKEN cDNA 4930426D05 gene,Other,other
2.703,downstream,Acot10,ACOT9,acyl-CoA thioesterase 9,Cytoplasm,enzyme
2.703,inside,Ankib1,ANKIB1,ankyrin repeat and IBR domain containing 1,Nucleus,transcription regulator
2.703,inside,Anxa5,ANXA5,annexin A5,Plasma Membrane,transporter
2.703,downstream,Asb17,ASB17,ankyrin repeat and SOCS box containing 17,Other,other
2.703,upstream,Ccdc69,Ccdc69,coiled-coil domain containing 69,Other,other
2.703,inside,Cntnap4,CNTNAP4,contactin associated protein like 4,Plasma Membrane,other
2.703,inside,Col11a2,COL11A2,collagen type XI alpha 2 chain,Extracellular Space,other
2.703,upstream,Colec12,COLEC12,collectin subfamily member 12,Plasma Membrane,transmembrane receptor
2.703,upstream,Cox7c,Cox7c,cytochrome c oxidase subunit VIIc,Cytoplasm,other
2.703,upstream,Cstf2t,CSTF2T,cleavage stimulation factor subunit 2 tau variant,Nucleus,other
2.703,upstream,Ctnna1,CTNNA1,catenin alpha 1,Plasma Membrane,other
2.703,upstream,Depdc1a,DEPDC1,DEP domain containing 1,Nucleus,transcription regulator
2.703,downstream,Dhrs7,DHRS7,dehydrogenase/reductase 7,Other,enzyme
2.703,inside,Dpyd,DPYD,dihydropyrimidine dehydrogenase,Cytoplasm,enzyme
2.703,upstream,Eda,Eda,ectodysplasin-A,Other,other
2.703,includeFeature,Gm10169,Gm10169,"macrophage migration inhibitory factor, pseudogene 4",Other,other
2.703,upstream,Gm1110,Gm1110,predicted gene 1110,Other,other
2.703,downstream,Gm11260,Gm11260,"zinc finger, CCHC domain containing 9 pseudogene",Other,other
2.703,upstream,Gm12636,Gm12636,ubiquitin specific peptidase 46 pseudogene,Other,other
2.703,upstream,Gm13170,Gm13170,high mobility group box 2 pseudogene,Other,other
2.703,upstream,Gm13326,Gm13326,glyceraldehyde-3-phosphate dehydrogenase pseudogene,Other,other
2.703,downstream,Gm14082,Gm14082,ribosomal protein L7A pseudogene,Other,other
2.703,upstream,Gm14704,Gm14704,"melanoma antigen, family A, 4 pseudogene",Other,other
2.703,upstream,Gm14726,Gm14726,"melanoma antigen, family A, 4 pseudogene",Other,other
2.703,downstream,Gm14819,Gm4836 (includes others),predicted gene 4836,Nucleus,other
2.703,downstream,Gm15390,Gm15390,predicted gene 15390,Other,other
2.703,upstream,Gm15772,Gm15772,ribosomal protein L26 pseudogene,Other,other
2.703,inside,Gm3448,TCTE3,t-complex-associated-testis-expressed 3,Extracellular Space,other
2.703,downstream,Gm5420,Gm5420,predicted gene 5420,Other,other
2.703,upstream,Gm5815,Gm5815,glucocorticoid induced transcript 1 pseudogene,Other,other
2.703,upstream,Gm6086,GAL3ST2,galactose-3-O-sulfotransferase 2,Cytoplasm,enzyme
2.703,upstream,Grem1,GREM1,"gremlin 1, DAN family BMP antagonist",Extracellular Space,other
2.703,downstream,Hs1bp3,HS1BP3,HCLS1 binding protein 3,Other,other
2.703,downstream,Ids,IDS,iduronate 2-sulfatase,Cytoplasm,enzyme
2.703,downstream,Ids,IDS,iduronate 2-sulfatase,Cytoplasm,enzyme
2.703,upstream,Igkv8-26,Igkv8-26,immunoglobulin kappa variable 8-26,Other,other
2.703,inside,Kif24,KIF24,kinesin family member 24,Cytoplasm,other
2.703,upstream,Ky,KY,kyphoscoliosis peptidase,Cytoplasm,other
2.703,downstream,Mme,MME,membrane metalloendopeptidase,Plasma Membrane,peptidase
2.703,inside,Myom2,MYOM2,myomesin 2,Cytoplasm,other
2.703,upstream,Naip6,Naip1 (includes others),"NLR family, apoptosis inhibitory protein 1",Cytoplasm,other
2.703,upstream,Neu4,NEU4,neuraminidase 4,Cytoplasm,enzyme
2.703,downstream,Nr0b1,NR0B1,nuclear receptor subfamily 0 group B member 1,Nucleus,ligand-dependent nuclear receptor
2.703,inside,Nubpl,NUBPL,nucleotide binding protein like,Cytoplasm,other
2.703,upstream,Olfr161,Olfr161,olfactory receptor 161,Plasma Membrane,G-protein coupled receptor
2.703,upstream,Pank3,PANK3,pantothenate kinase 3,Cytoplasm,kinase
2.703,inside,Pccb,PCCB,propionyl-CoA carboxylase beta subunit,Cytoplasm,enzyme
2.703,upstream,Ppan,PPAN,peter pan homolog (Drosophila),Nucleus,other
